country,desc,prix
Afghanistan,"Meal, Inexpensive Restaurant",150.00 AFN
Afghanistan,"Meal for 2 People, Mid-range Restaurant, Three-course",675.00 AFN
Afghanistan,McMeal at McDonalds (or Equivalent Combo Meal),250.00 AFN
Afghanistan,Domestic Non-Alcoholic Beer (0.5 liter draught),200.00 AFN
Afghanistan,Imported Non-Alcoholic Beer (0.33 liter bottle),500.00 AFN
Afghanistan,Cappuccino (regular),63.00 AFN
Afghanistan,Coke/Pepsi (0.33 liter bottle),27.92 AFN
Afghanistan,Water (0.33 liter bottle),10.42 AFN
Afghanistan,"Milk (regular), (1 liter)",52.16 AFN
Afghanistan,Loaf of Fresh White Bread (500g),16.89 AFN
Afghanistan,"Rice (white), (1kg)",117.00 AFN
Afghanistan,Eggs (regular) (12),110.40 AFN
Afghanistan,Local Cheese (1kg),264.55 AFN
Afghanistan,Chicken Fillets (1kg),240.00 AFN
Afghanistan,Beef Round (1kg) (or Equivalent Back Leg Red Meat),412.00 AFN
Afghanistan,Apples (1kg),44.23 AFN
Afghanistan,Banana (1kg),57.78 AFN
Afghanistan,Oranges (1kg),55.50 AFN
Afghanistan,Tomato (1kg),39.17 AFN
Afghanistan,Potato (1kg),29.08 AFN
Afghanistan,Onion (1kg),26.95 AFN
Afghanistan,Lettuce (1 head),21.43 AFN
Afghanistan,Water (1.5 liter bottle),21.67 AFN
Afghanistan,Bottle of Non-Alcoholic Wine (Mid-Range),120.00 AFN
Afghanistan,Domestic Non-Alcoholic Beer (0.5 liter bottle),50.00 AFN
Afghanistan,Imported Non-Alcoholic Beer (0.33 liter bottle),102.50 AFN
Afghanistan,Cigarettes 20 Pack (Marlboro),155.00 AFN
Afghanistan,One-way Ticket (Local Transport),20.00 AFN
Afghanistan,Monthly Pass (Regular Price),850.00 AFN
Afghanistan,Taxi Start (Normal Tariff),100.00 AFN
Afghanistan,Taxi 1km (Normal Tariff),50.00 AFN
Afghanistan,Taxi 1hour Waiting (Normal Tariff),120.00 AFN
Afghanistan,Gasoline (1 liter),70.08 AFN
Afghanistan,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"600,000.00 AFN"
Afghanistan,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,800,000.00 AFN"
Afghanistan,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","6,258.93 AFN"
Afghanistan,Mobile Phone Monthly Plan with Calls and 10GB+ Data,"1,013.86 AFN"
Afghanistan,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","8,312.50 AFN"
Afghanistan,"Fitness Club, Monthly Fee for 1 Adult",690.91 AFN
Afghanistan,Tennis Court Rent (1 Hour on Weekend),250.00 AFN
Afghanistan,"Cinema, International Release, 1 Seat",169.82 AFN
Afghanistan,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,628.57 AFN"
Afghanistan,"International Primary School, Yearly for 1 Child","100,000.00 AFN"
Afghanistan,1 Pair of Jeans (Levis 501 Or Similar),"1,033.33 AFN"
Afghanistan,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,212.50 AFN"
Afghanistan,1 Pair of Nike Running Shoes (Mid-Range),"2,214.29 AFN"
Afghanistan,1 Pair of Men Leather Business Shoes,"1,856.25 AFN"
Afghanistan,Apartment (1 bedroom) in City Centre,"5,722.22 AFN"
Afghanistan,Apartment (1 bedroom) Outside of Centre,"3,625.00 AFN"
Afghanistan,Apartment (3 bedrooms) in City Centre,"12,250.00 AFN"
Afghanistan,Apartment (3 bedrooms) Outside of Centre,"7,062.50 AFN"
Afghanistan,Price per Square Meter to Buy Apartment in City Centre,"31,723.32 AFN"
Afghanistan,Price per Square Meter to Buy Apartment Outside of Centre,"14,343.75 AFN"
Afghanistan,Average Monthly Net Salary (After Tax),"15,411.42 AFN"
Afghanistan,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.22
Aland Islands,"Meal, Inexpensive Restaurant",13.00 €
Aland Islands,"Meal for 2 People, Mid-range Restaurant, Three-course",60.00 €
Aland Islands,McMeal at McDonalds (or Equivalent Combo Meal),10.50 €
Aland Islands,Domestic Beer (0.5 liter draught),7.00 €
Aland Islands,Imported Beer (0.33 liter bottle),6.00 €
Aland Islands,Cappuccino (regular),3.10 €
Aland Islands,Coke/Pepsi (0.33 liter bottle),2.30 €
Aland Islands,Water (0.33 liter bottle),1.70 €
Aland Islands,"Milk (regular), (1 liter)",1.07 €
Aland Islands,Loaf of Fresh White Bread (500g),2.40 €
Aland Islands,"Rice (white), (1kg)",2.00 €
Aland Islands,Eggs (regular) (12),2.64 €
